StandardID,StandardName,Subsection,Description
1,Professionalism,I(A) Knowledge of the Law,"Members and Candidates must understand and comply with all applicable laws, rules, and regulations."
2,Professionalism,I(B) Independence and Objectivity,"Maintain independence and objectivity, avoid conflicts of interest or undue influence."
3,Professionalism,I(C) Misrepresentation,"Do not knowingly make any misrepresentations relating to investment analysis, recommendations, actions, or other professional activities."
4,Professionalism,I(D) Misconduct,"Do not engage in any professional conduct involving dishonesty, fraud, deceit, or commit any act that reflects adversely on professional reputation."
5,Integrity of Capital Markets,II(A) Material Nonpublic Information,"Do not act or cause others to act on material nonpublic information."
6,Integrity of Capital Markets,II(B) Market Manipulation,"Do not engage in practices that distort prices or artificially inflate trading volume to mislead market participants."
7,Duties to Clients,III(A) Loyalty, Prudence, and Care,"Act for the benefit of clients and place clients' interests before your own."
8,Duties to Clients,III(B) Fair Dealing,"Deal fairly and objectively with all clients when providing investment analysis, making recommendations, or taking investment action."
9,Duties to Clients,III(C) Suitability,"Make recommendations and take investment actions that are suitable to the client’s financial situation and objectives."
10,Duties to Clients,III(D) Performance Presentation,"Make reasonable efforts to ensure investment performance information is fair, accurate, and complete."
11,Duties to Clients,III(E) Preservation of Confidentiality,"Keep information about current, former, and prospective clients confidential unless the information concerns illegal activities or disclosure is required by law."
12,Duties to Employers,IV(A) Loyalty,"Act for the benefit of your employer and do not deprive your employer of your skills or divulge confidential information."
13,Duties to Employers,IV(B) Additional Compensation Arrangements,"Do not accept gifts, benefits, or compensation that might create a conflict with your employer's interests unless you obtain written consent."
14,Duties to Employers,IV(C) Responsibilities of Supervisors,"Ensure that anyone subject to your supervision complies with applicable laws, rules, regulations, and the Code and Standards."
15,Investment Analysis Recommendations and Actions,V(A) Diligence and Reasonable Basis,"Exercise diligence, independence, and thoroughness in analyzing investments and have a reasonable basis for investment recommendations."
16,Investment Analysis Recommendations and Actions,V(B) Communication with Clients and Prospective Clients,"Disclose the general principles of the investment processes used and distinguish between fact and opinion."
17,Investment Analysis Recommendations and Actions,V(C) Record Retention,"Develop and maintain appropriate records to support investment analyses, recommendations, actions, and other investment-related communications."
18,Conflicts of Interest,VI(A) Disclosure of Conflicts,"Make full and fair disclosure of all matters that could reasonably be expected to impair independence and objectivity."
19,Conflicts of Interest,VI(B) Priority of Transactions,"Investment transactions for clients must have priority over transactions in which a member or candidate is the beneficial owner."
20,Conflicts of Interest,VI(C) Referral Fees,"Members and candidates must disclose to their employer, clients, and prospective clients any compensation, consideration, or benefit received from, or paid to, others."
21,Responsibilities as a CFA Institute Member or CFA Candidate,VII(A) Conduct as Participants in CFA Institute Programs,"Do not compromise the integrity of CFA Institute programs, and abide by all applicable rules and policies."
22,Responsibilities as a CFA Institute Member or CFA Candidate,VII(B) Reference to CFA Institute, the CFA Designation, and the CFA Program,"Do not misrepresent or exaggerate the meaning or implications of membership in CFA Institute, holding the CFA designation, or candidacy in the program."

